State,District,Mine_Name,Latitude,Longitude,CO2_ppm,CH4_ppm,PM2_5,PM10,Emission_Score,Hotspot_Level
Chhattisgarh,Korba,Kusmunda,22.25,82.52,401.9131895789541,1.718201079895201,62.31933192670814,147.74075943862607,192.78974986035035,Orange
Chhattisgarh,Korba,Dipka,22.418,82.721,451.8795099243432,1.9660612914138909,30.846421254662168,151.0304783289354,208.6231572947011,Red
Chhattisgarh,Raigarh,Jampali,21.977,83.352,419.0668674050869,1.851542401894149,18.45794421957021,178.88231681215498,197.78324883736178,Orange
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,439.0179320573189,1.8939521230511616,75.08625336731012,83.09576943827733,199.90266188068105,Orange
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,452.4538256934184,1.8740377123029823,52.54647140847334,168.58083794020868,214.71283799336055,Red
Jharkhand,Dhanbad,Jharia,23.77,86.42,430.51712362824605,1.9348057841083373,37.43268676298662,63.44473899751358,187.91890505060599,Yellow
Jharkhand,Dhanbad,Bhowra,23.75,86.43,378.87479983916256,2.1071182260330605,47.43491011674381,210.14074776222884,190.81840408532082,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,408.4710828836462,2.091632890960048,53.61636971131713,58.50257698243677,180.8337650248096,Yellow
Jharkhand,Bokaro,Kathara,23.91,85.92,393.2020249721819,1.992279313494132,70.44111768811311,95.09141571442662,182.70837379330197,Yellow
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,455.7497592109671,2.146536628553988,13.798373366790791,146.12490791360136,206.93235686501188,Red
Odisha,Angul,Talcher,20.95,85.23,423.7119267868839,2.050618073724749,38.66878874933894,60.41997202728221,184.9632702533642,Yellow
Odisha,Angul,Bhubaneswari,20.94,85.19,410.9619035696317,1.582364100119108,60.12375313012911,128.24623839194905,193.11496938620016,Orange
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,432.22531138830846,2.0903914983264653,53.101438699162046,77.44466285227458,193.09915723753682,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,442.4597108576522,2.107668604171884,31.347194356241808,118.25033998453075,200.05581507542837,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,457.6819649274939,2.1211088769170927,23.80270757305868,134.03114975918723,207.38419723390956,Red
Chhattisgarh,Korba,Kusmunda,22.25,82.52,411.4381112515045,1.874415327942972,28.7811718421477,129.25818027086996,188.84347191593736,Orange
Chhattisgarh,Korba,Dipka,22.418,82.721,429.76063387663214,1.8128463184309365,20.390465811048998,195.6737782030465,204.85774404829647,Red
Chhattisgarh,Raigarh,Jampali,21.977,83.352,418.7447431808965,2.0975425760107487,21.299904201147125,215.4899872431588,203.64564376180772,Red
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,423.5611519898524,1.599301728516124,38.7781127849171,131.66179731255428,195.4702378291165,Orange
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,381.5393274294964,1.7712089218474838,15.980213750477866,186.4644777153723,183.5137973682303,Yellow
Jharkhand,Dhanbad,Jharia,23.77,86.42,424.97616571866985,2.1714913861337903,49.10748554408346,100.36044621197736,193.0621034667172,Orange
Jharkhand,Dhanbad,Bhowra,23.75,86.43,381.2398066138124,1.99686864777006,67.9518687614769,36.264468284515786,168.72743379675487,Yellow
Jharkhand,Bokaro,Kargali,23.82,85.92,478.0506511575172,1.957968464437636,0.01,119.46265344198672,209.7285490186362,Red
Jharkhand,Bokaro,Kathara,23.91,85.92,476.5553131009564,2.1006867386494674,32.858453500083066,124.0947349726016,214.7953095328801,Red
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,456.3466722205937,1.7909124104726069,75.76626304223261,101.64194696092672,209.68717411185318,Red
Odisha,Angul,Talcher,20.95,85.23,417.2882666697524,1.5432118766223006,14.228147885298275,214.95748780178948,201.7561155839508,Red
Odisha,Angul,Bhubaneswari,20.94,85.19,431.5922371767373,2.194445541670968,57.925335457174846,242.5298679112217,218.3635090384557,Red
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,461.381512342962,2.1682298185071005,39.31304394449694,80.6097310335127,203.1914901294384,Red
Odisha,Sundargarh,Basundhara,21.93,83.73,426.95318758736965,1.8532454482852,71.9820546205671,123.31470083132098,200.63176198721663,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,438.4720264006415,1.8658577538816263,36.26427844109781,111.21889004361174,198.07104315912753,Orange
Chhattisgarh,Korba,Kusmunda,22.25,82.52,444.9951573205039,1.6101162109804634,40.9304106675412,57.80256192060232,193.29104367971723,Orange
Chhattisgarh,Korba,Dipka,22.418,82.721,403.0429796917746,1.661262652654487,77.50275873428656,192.51174254941847,202.21774586506197,Red
Chhattisgarh,Raigarh,Jampali,21.977,83.352,416.6911381620259,2.158769198961416,56.65436007419257,105.02473950840373,191.57595096188822,Orange
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,404.68837040794887,1.7784522238426,9.799973124128776,131.1949123709237,183.5581166545902,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,428.5727346909544,2.376354016412433,74.9680333830309,110.42523369141855,199.95099014247296,Orange
Jharkhand,Dhanbad,Jharia,23.77,86.42,463.080667679471,2.1059668228157364,72.5472951686238,65.73474690601506,206.60636342982897,Red
Jharkhand,Dhanbad,Bhowra,23.75,86.43,427.30892091910033,1.8299426848074416,77.60906258632696,81.78785096964727,195.3820882064785,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,469.8487332846707,1.7740405134184238,12.433288054887612,8.331038424452188,191.58635443979477,Orange
Jharkhand,Bokaro,Kathara,23.91,85.92,412.9095715111141,2.1183561549568024,21.82193931500244,0.01,169.07412634818306,Yellow
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,408.4614639371177,2.100683892700486,31.865607975104812,69.6135285310962,179.2366612185874,Yellow
Odisha,Angul,Talcher,20.95,85.23,407.1982050847429,2.373438754565321,36.45903170973183,149.10577422476192,191.42603455044082,Orange
Odisha,Angul,Bhubaneswari,20.94,85.19,367.1341549436803,2.34873811334906,24.265295532712496,9.693170478398358,152.65205331314343,Yellow
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,423.0560766763783,1.912687167997013,66.94986772819168,89.33353300356845,193.23874693071446,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,415.4317267517889,2.2503408038087924,45.01196339322699,73.38422544696016,184.6072212678863,Yellow
Chhattisgarh,Korba,Gevra,22.331,82.614,428.7850761987933,2.009690362796288,28.000232259372453,152.4727150593716,199.18787968616783,Orange
Chhattisgarh,Korba,Kusmunda,22.25,82.52,453.2059945817209,1.774831518700978,27.46660793766329,168.54455310230884,211.21652144429453,Red
Chhattisgarh,Korba,Dipka,22.418,82.721,457.1010251709072,1.242228454986048,56.37502888762803,90.26247203952256,205.20870374393127,Red
Chhattisgarh,Raigarh,Jampali,21.977,83.352,425.7634123748838,2.1858518669220253,92.0617036273976,130.1261669662494,204.2893010990772,Red
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,379.917068657782,2.0034463901697523,48.95845988505182,96.67968214217186,174.4135826842473,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,364.8732612522448,1.676385178293602,20.551085209380258,120.39280569089684,167.59380368942757,Yellow
Jharkhand,Dhanbad,Jharia,23.77,86.42,393.8808281457704,1.9447032743422343,0.01,103.9062193190605,173.7231751384699,Yellow
Jharkhand,Dhanbad,Bhowra,23.75,86.43,495.8373902973568,1.8718726938497297,50.21927125301711,84.53578986696236,219.10977709509459,Red
Jharkhand,Bokaro,Kargali,23.82,85.92,452.4108640469019,2.088793503040875,92.21955591908171,156.41742748046192,218.88653117960456,Red
Jharkhand,Bokaro,Kathara,23.91,85.92,382.26501689511656,1.7402092529288045,25.46910926105889,92.37285967025656,171.10436487362261,Yellow
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,465.8010624990575,2.031959502614656,39.955991875135794,126.72232687266124,211.93176066257698,Red
Odisha,Angul,Talcher,20.95,85.23,420.9113063225593,1.7475845114540458,94.19990900182036,143.16856625694928,204.49406917127538,Red
Odisha,Angul,Bhubaneswari,20.94,85.19,464.8820748626757,1.8879852953451857,56.79746428253182,147.68750895682743,217.19197151957778,Red
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,446.6913765795379,1.7532648424746842,17.196627123063106,204.860420357342,212.51108720661836,Red
Odisha,Sundargarh,Basundhara,21.93,83.73,408.9374654159813,2.0867458224441147,20.04539826536515,159.04842938071997,191.06508406003854,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,480.7874727756937,1.6858243289245365,63.74224128278664,115.05882706842654,219.64089666163682,Red
Chhattisgarh,Korba,Kusmunda,22.25,82.52,421.9215891161933,2.070516053595668,35.750043030310124,223.85239057458955,208.33015550329097,Red
Chhattisgarh,Korba,Dipka,22.418,82.721,371.1567356552135,2.0393963434019704,31.312526021664304,202.6254107704621,184.16520368392494,Yellow
Chhattisgarh,Raigarh,Jampali,21.977,83.352,392.27514712812336,1.827527800840752,25.349665524446227,172.18568719738306,187.08862009977597,Yellow
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,431.8259527041562,1.7790286394908847,75.55029474818905,59.995627250874776,193.59597797336932,Orange
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,423.8681298133079,1.741120687626219,70.24283514957042,152.12987476934887,203.42549461944893,Red
Jharkhand,Dhanbad,Jharia,23.77,86.42,407.701716941534,2.149178683117849,49.67098969021912,208.60066611477123,202.4661887522975,Red
Jharkhand,Dhanbad,Bhowra,23.75,86.43,404.1392816620588,2.2973885886038605,21.342664577610087,184.02405947724932,193.1499378496336,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,444.3078646110176,1.956744620584275,52.96631536454395,136.11774641213603,206.67277849708432,Red
Jharkhand,Bokaro,Kathara,23.91,85.92,403.2788480420392,2.1627547967571155,24.060550966493818,139.02248856814586,186.42282158603882,Yellow
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,450.025273000796,1.872704172425148,0.01,91.940748057509,194.3645326606723,Orange
Odisha,Angul,Talcher,20.95,85.23,427.9344090804832,2.053037972838696,23.348732254105407,145.12948090573235,197.06140699802057,Orange
Odisha,Angul,Bhubaneswari,20.94,85.19,446.78810965219833,1.6997601726732643,10.752079632917734,198.71020825982757,210.64451509659312,Red
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,444.6622539992098,1.7698323146593926,55.00853465536542,72.58626793656737,197.53507168287163,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,413.6250145040607,2.007771580839535,45.04076531003578,156.82633109787403,196.3324017370626,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,397.8519367677591,1.887955798550053,78.6964057034715,115.89172851325397,188.8953815791775,Orange
Chhattisgarh,Korba,Kusmunda,22.25,82.52,397.0308459296538,2.3034048988791724,21.522371625535847,69.80360524261684,173.20225637174818,Yellow
Chhattisgarh,Korba,Dipka,22.418,82.721,443.9736079939668,2.0033399579004145,37.093264582484096,56.835702443647165,192.27979023887656,Orange
Chhattisgarh,Raigarh,Jampali,21.977,83.352,428.8472777870357,1.9112929026806929,43.15112551193323,58.59686184647611,187.3744970893799,Yellow
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,390.53852234469446,2.096068836110353,69.7229000738988,59.72115771970325,176.2608382577512,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,405.62082391022415,2.140258432720517,5.866203206639838,201.92780297935548,194.0595080218051,Orange
Jharkhand,Dhanbad,Jharia,23.77,86.42,409.4519372173573,2.1163776387311746,88.12576654732564,101.93752502832,192.9251819149091,Orange
Jharkhand,Dhanbad,Bhowra,23.75,86.43,439.0979350776204,1.8456693172588696,37.59972348456668,96.68702271654688,196.33588675639285,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,408.7668068576034,1.6846610939844444,53.81319272028336,35.41888226397644,177.39693231887566,Yellow
Jharkhand,Bokaro,Kathara,23.91,85.92,415.4998940241072,2.188610337616709,26.70375903695145,163.95447196173978,195.45527536073158,Orange
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,449.4690220376835,1.9000144126238216,5.568357862068112,34.01824669433955,186.2956038223217,Yellow
Odisha,Angul,Talcher,20.95,85.23,343.6785300892096,1.99859840568708,48.83406554281847,108.49237302895934,161.66995734315663,Yellow
Odisha,Angul,Bhubaneswari,20.94,85.19,417.26986216001984,1.862784674368356,74.6512992759022,76.76418540515823,190.17910296847754,Orange
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,418.1273932273451,2.011862666603268,49.76020611750453,90.5561560085516,188.90197040982747,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,416.36566886196624,2.29052893387444,21.577200150752333,189.0528376418952,198.82793189384597,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,383.3327716306363,1.8573710936912933,102.17365458039411,113.8043178093227,186.28701583881943,Yellow
Chhattisgarh,Korba,Kusmunda,22.25,82.52,433.5064330956067,2.019327545556159,47.33368685577516,122.07018167796728,199.41895178197092,Orange
Chhattisgarh,Korba,Dipka,22.418,82.721,398.6673418538634,2.3088333974605977,54.487729784575,149.1671175283539,190.7078138577229,Orange
Chhattisgarh,Raigarh,Jampali,21.977,83.352,421.4487971822222,1.770733437177387,82.8669353146936,111.66876465421174,198.29109389937793,Orange
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,418.0111090507106,1.9503740367783755,4.625790836700389,90.83352544703123,182.1084532738775,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,446.51897374393104,1.859986493137185,36.54253892707496,167.54167081624007,209.77821690701083,Red
Jharkhand,Dhanbad,Jharia,23.77,86.42,416.2115780937849,1.894797787656704,38.201197406582494,79.41981579577043,184.69622255416394,Yellow
Jharkhand,Dhanbad,Bhowra,23.75,86.43,433.6674407125416,1.8129768040714536,60.98935476172899,110.4627734068096,199.72868855151887,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,381.7725205641987,1.971306993410756,43.84088523561274,88.52047955919518,173.15460504292392,Yellow
Jharkhand,Bokaro,Kathara,23.91,85.92,406.7609246065596,1.594634867684795,20.429099119907832,63.78190802902034,175.81441137526852,Yellow
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,415.1613420031703,2.086932246108749,70.60800901445235,153.7050424232691,200.33757419075897,Orange
Odisha,Angul,Talcher,20.95,85.23,390.4557439379111,1.6379003684251283,51.849259410735336,77.80722656706834,176.12214058236253,Yellow
Odisha,Angul,Bhubaneswari,20.94,85.19,387.3346792714152,1.6475404016632007,27.68338707294129,149.96157183519423,182.07487766528538,Yellow
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,424.9423553157293,1.9476708902331692,51.52263344760283,136.5660564704015,198.77454688106232,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,425.2197110658018,1.9615728094853515,39.89136943496454,151.27587531473068,199.3514429816206,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,366.23860368439097,2.284573640379706,26.1284634712502,108.29377327340582,167.3441490775687,Yellow
Chhattisgarh,Korba,Kusmunda,22.25,82.52,399.3253593652008,1.963604308875811,10.921305072102768,87.86873494128417,175.1377310407511,Yellow
Chhattisgarh,Korba,Dipka,22.418,82.721,396.9707669904473,1.4831954282798057,74.737266447794,37.01932411205142,175.99675400863967,Yellow
Chhattisgarh,Raigarh,Jampali,21.977,83.352,423.8624536154928,1.7930649224859,62.35404200113935,167.52078391289007,204.56412481004733,Red
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,384.98157110138646,1.568390411886084,46.574339034532976,79.32118246745634,173.3474737894188,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,439.8982836759792,1.8966773973440925,23.463086698959053,87.00465721296153,193.09847827638302,Orange
Jharkhand,Dhanbad,Jharia,23.77,86.42,442.8632672763042,2.010720854256744,34.58561673893692,205.85071094302447,213.81397231909293,Red
Jharkhand,Dhanbad,Bhowra,23.75,86.43,417.1608971757359,2.2084107264454245,16.45328930608187,150.9262606665746,192.63381458412647,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,444.25056217826767,1.980868846528468,48.22510999759808,83.54870766057007,198.06055817399084,Orange
Jharkhand,Bokaro,Kathara,23.91,85.92,484.2900895041943,2.009939111110218,52.054656199711374,76.95104067581175,213.66987206633928,Red
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,452.8318078184848,2.137831782628836,21.359908463567585,174.50975117591958,211.15452160810563,Red
Odisha,Angul,Talcher,20.95,85.23,417.12442629287466,2.2485319633014296,61.1760508478164,138.6895304674559,197.50416730343116,Orange
Odisha,Angul,Bhubaneswari,20.94,85.19,409.87192983485966,2.1105051949924287,59.18356730557274,88.40170068042775,186.71971369034168,Yellow
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,459.93235151704096,1.888636474427844,16.305926302153377,216.8063442181446,219.50637212718948,Red
Odisha,Sundargarh,Basundhara,21.93,83.73,428.2923922142752,2.3440275964924955,94.71224281621276,82.3928232490643,198.5859250744494,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,411.6674750083534,2.0653380293568246,76.71158560608593,30.573912444871368,181.379416119792,Yellow
Chhattisgarh,Korba,Kusmunda,22.25,82.52,379.0727840713034,1.606563502838585,87.07570107102902,67.06828142404456,175.23268005363397,Yellow
Chhattisgarh,Korba,Dipka,22.418,82.721,444.2235362522783,1.797653591303736,58.89564859008154,85.68910654752784,199.91642384894385,Orange
Chhattisgarh,Raigarh,Jampali,21.977,83.352,443.79968690302,2.231028878450405,53.97425463755414,136.50768912976264,206.76147498984068,Red
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,427.4714861252755,2.4514990475717666,86.01304036376155,9.994088110649642,186.12511343554343,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,474.5018808361005,2.078473118410036,41.08543431599318,7.896668016944787,197.77160961990393,Orange
Jharkhand,Dhanbad,Jharia,23.77,86.42,420.1455065684284,2.202393423199273,60.87338117141661,136.40752580973313,198.31105670150362,Orange
Jharkhand,Dhanbad,Bhowra,23.75,86.43,433.40694723118906,1.8025941277694608,70.30467295944962,166.24077652527885,209.38537455351573,Red
Jharkhand,Bokaro,Kargali,23.82,85.92,426.9609811520917,1.986598889929052,26.8117591094368,23.96337613674,178.9966424147419,Yellow
Jharkhand,Bokaro,Kathara,23.91,85.92,451.8805385295479,2.1594552817118924,65.85905744436721,114.17515628987442,208.40518405646898,Red
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,460.9092008560938,1.739962692527666,23.6371403710988,91.1365704477516,202.1017257730234,Red
Odisha,Angul,Talcher,20.95,85.23,415.90265526227694,2.1930961187269262,47.5165646488437,34.05209366685759,179.25428968788407,Yellow
Odisha,Angul,Bhubaneswari,20.94,85.19,468.89030962753617,1.9917908904266304,65.01289127035267,194.2415937404133,227.04183386975737,Red
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,466.6846304485649,2.1040912382854597,75.91821368271683,59.47594401818106,207.6142032060463,Red
Odisha,Sundargarh,Basundhara,21.93,83.73,445.82948578175456,2.206558993767796,47.79417062501372,45.68784204717399,193.01606391166032,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,451.3052788989265,1.9694868220594608,40.78032327882774,136.200000297519,207.66000614264044,Red
Chhattisgarh,Korba,Kusmunda,22.25,82.52,389.4280773047111,2.042254416863566,24.73978132650136,91.0973170974466,173.75947201053572,Yellow
Chhattisgarh,Korba,Dipka,22.418,82.721,403.34697374414594,2.0514625699783373,42.664499292765726,53.19575091630545,176.33326580001255,Yellow
Chhattisgarh,Raigarh,Jampali,21.977,83.352,397.2353160327489,2.223104596081237,44.69792199291749,116.40831406042824,183.72699319992577,Yellow
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,421.90767026220544,1.8754515511942624,57.31390740082652,58.12807282993189,186.64200060485422,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,461.988180087963,1.9231749241909688,14.613080501004248,127.63865243716111,206.7099844531673,Red
Jharkhand,Dhanbad,Jharia,23.77,86.42,392.8623869243024,1.6894845042092923,0.01,94.74063087869062,171.86439475278738,Yellow
Jharkhand,Dhanbad,Bhowra,23.75,86.43,411.8710367325435,2.2000573825882466,24.52366406877777,76.58008631328596,180.57399446510343,Yellow
Jharkhand,Bokaro,Kargali,23.82,85.92,418.564784820376,1.939132704050259,31.950041101235897,141.8112786567546,194.07185170306406,Orange
Jharkhand,Bokaro,Kathara,23.91,85.92,408.0721513529867,1.815215724467392,78.9781932506836,165.4325410197165,200.43503539909491,Orange
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,452.43574578541455,2.083887602678645,102.09370425132278,159.24591056320003,220.80040681714786,Red
Odisha,Angul,Talcher,20.95,85.23,400.7737237115604,1.903343203368546,79.94185161682394,68.69554872810082,183.17610249737345,Yellow
Odisha,Angul,Bhubaneswari,20.94,85.19,418.94058461533984,2.179827409693707,10.977566274818372,130.60281623421895,189.46723944539963,Orange
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,395.6489385094626,1.9893654443958435,31.048760827540868,94.35113473294166,177.66636937117616,Yellow
Odisha,Sundargarh,Basundhara,21.93,83.73,390.3127758902057,2.273425368253596,36.54407540672404,193.1193341649997,191.25664940231692,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,456.7327072072962,1.7858846888828208,76.3215874225998,71.60924851601453,205.41847368037546,Red
Chhattisgarh,Korba,Kusmunda,22.25,82.52,414.89607101301743,1.9503589745756211,48.70727062460204,26.39665251360715,177.809124568311,Yellow
Chhattisgarh,Korba,Dipka,22.418,82.721,406.8784729049987,1.9608103325692,48.88761749297641,64.32889676078008,180.32210939983372,Yellow
Chhattisgarh,Raigarh,Jampali,21.977,83.352,445.39386216630174,2.0704946872564727,69.92133148824796,60.99989227546303,198.41687683725428,Orange
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,458.2309562350807,1.9080316523462264,44.29020428851333,166.28063949174694,215.45041855677522,Red
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,404.3533876004219,1.835771702474364,12.5426955472865,129.22650141054493,183.5574660945858,Yellow
Jharkhand,Dhanbad,Jharia,23.77,86.42,465.6768567119,1.8581089169229636,30.32325031048952,107.13801138708138,207.44736461447252,Red
Jharkhand,Dhanbad,Bhowra,23.75,86.43,406.94112360800375,1.991512664067401,58.1492627343655,166.2147419947733,197.02850395179254,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,499.6582343894107,2.291792810405979,57.93859940556108,130.75341644236835,228.8546339760755,Red
Jharkhand,Bokaro,Kathara,23.91,85.92,420.29909285283327,1.981932113109585,42.96451423326885,145.48071451245784,196.9810010869252,Orange
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,418.9924798712938,1.8002053805459908,33.209770466737545,130.93969791058217,192.7594738192793,Orange
Odisha,Angul,Talcher,20.95,85.23,442.25639822807005,1.450858523243507,0.01,52.53053047623133,185.2188964196358,Yellow
Odisha,Angul,Bhubaneswari,20.94,85.19,415.7797937869482,2.400907220421573,55.01605941927274,31.840773400594244,180.0607146038858,Yellow
Odisha,Jharsuguda,Lakhanpur,21.85,83.87,398.1789426709341,1.7668076492600042,99.9274075919789,152.4987197243035,197.665538460594,Orange
Odisha,Sundargarh,Basundhara,21.93,83.73,459.4206840491258,1.9904500791058464,41.11135199132637,42.4866079799536,196.9051026390741,Orange
Chhattisgarh,Korba,Gevra,22.331,82.614,417.17908817371193,2.156183867673381,39.374555637920594,137.84421677457735,194.10130629166147,Orange
Chhattisgarh,Korba,Kusmunda,22.25,82.52,421.57526055765146,1.7216116361677376,47.377820906318085,28.868573279226183,180.58354684174256,Yellow
Chhattisgarh,Korba,Dipka,22.418,82.721,448.8294063582338,2.107815040279982,31.527924524510667,77.54454127623069,196.52497692548874,Orange
Chhattisgarh,Raigarh,Jampali,21.977,83.352,427.2577449801609,2.182882348107054,67.290565427419,116.81966959414828,199.1744979497316,Orange
Chhattisgarh,Raigarh,Dharamjaigarh,22.308,83.285,375.3828014638523,1.896572502811649,56.12814185919201,87.38866678475193,172.249613632976,Yellow
Chhattisgarh,Surguja,Bhatgaon,23.037,82.857,378.1276983988117,1.7185168419569132,0.4407611687794173,112.96883670803926,168.7780740936346,Yellow
Jharkhand,Dhanbad,Jharia,23.77,86.42,435.4676144573092,1.9472053543047851,38.32981553769701,161.9185850058959,204.80846747075407,Red
Jharkhand,Dhanbad,Bhowra,23.75,86.43,444.4288968609208,2.2288045191886736,37.32599611311592,83.80539527453706,196.60990880827288,Orange
Jharkhand,Bokaro,Kargali,23.82,85.92,408.832646835435,1.7705511770660054,41.9483071382922,198.4865491125746,200.12945252492383,Orange
Jharkhand,Bokaro,Kathara,23.91,85.92,455.1339392815219,2.0316600963809126,67.08342094057622,12.910596228833995,194.6621763169346,Orange
Jharkhand,Ramgarh,Rajrappa,23.68,85.54,440.3067452526348,1.6381128441747548,21.212422846793164,133.18740337246308,199.77410588719482,Orange
Odisha,Angul,Talcher,20.95,85.23,479.6432654180644,1.900685789148085,62.9080386002441,115.33822167105568,219.16445094466513,Red
Odisha,Angul,Bhubaneswari,20.94,85.19,407.372236995851,1.6800789488576142,46.45989618274764,93.8091830828141,184.49328037283195,Yellow
